STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
       3032;19310423;    5;   0.0;   0;-999;-999;eor
       3032;19310424;    5;   0.0;   0;-999;-999;eor
       3032;19310425;    5;   5.2;   1;-999;-999;eor
       3032;19310426;    5;   0.0;   0;-999;-999;eor
       3032;19310427;    5;   4.3;   1;-999;-999;eor
       3032;19310428;    5;   8.8;   1;-999;-999;eor
       3032;19310429;    5;   0.4;   1;-999;-999;eor
       3032;19310430;    5;   0.0;   0;-999;-999;eor
       3032;19310501;    5;   0.0;   0;-999;-999;eor
       3032;19310502;    5;   0.0;   0;-999;-999;eor
       3032;19310503;    5;   0.0;   0;-999;-999;eor
       3032;19310504;    5;   8.0;   1;-999;-999;eor
       3032;19310505;    5;   0.0;   0;-999;-999;eor
       3032;19310506;    5;   0.0;   0;-999;-999;eor
       3032;19310507;    5;   2.5;   1;-999;-999;eor
       3032;19310508;    5;   0.1;   1;-999;-999;eor
       3032;19310509;    5;   0.0;   0;-999;-999;eor
       3032;19310510;    5;   0.0;   0;-999;-999;eor
       3032;19310511;    5;   0.0;   0;-999;-999;eor
       3032;19310512;    5;   0.0;   0;-999;-999;eor
       3032;19310513;    5;   1.9;   1;-999;-999;eor
       3032;19310514;    5;   0.0;   0;-999;-999;eor
       3032;19310515;    5;  12.8;   1;-999;-999;eor
       3032;19310516;    5;   8.3;   1;-999;-999;eor
       3032;19310517;    5;   0.8;   1;-999;-999;eor
       3032;19310518;    5;   0.2;   1;-999;-999;eor
       3032;19310519;    5;   0.0;   0;-999;-999;eor
       3032;19310520;    5;   0.0;   0;-999;-999;eor
       3032;19310521;    5;   0.0;   0;-999;-999;eor
       3032;19310522;    5;   7.5;   1;-999;-999;eor
       3032;19310523;    5;   0.0;   0;-999;-999;eor
       3032;19310524;    5;   0.0;   0;-999;-999;eor
       3032;19310525;    5;   0.0;   0;-999;-999;eor
       3032;19310526;    5;   2.5;   1;-999;-999;eor
       3032;19310527;    5;  11.0;   1;-999;-999;eor
       3032;19310528;    5;   0.0;   0;-999;-999;eor
       3032;19310529;    5;   5.7;   1;-999;-999;eor
       3032;19310530;    5;   0.0;   0;-999;-999;eor
       3032;19310531;    5;   0.0;   0;-999;-999;eor
       3032;19310601;    5;   0.0;   0;-999;-999;eor
       3032;19310602;    5;   0.1;   1;-999;-999;eor
       3032;19310603;    5;   0.0;   0;-999;-999;eor
       3032;19310604;    5;   0.0;   0;-999;-999;eor
       3032;19310605;    5;   0.0;   0;-999;-999;eor
       3032;19310606;    5;   3.0;   1;-999;-999;eor
       3032;19310607;    5;   0.1;   1;-999;-999;eor
       3032;19310608;    5;   0.0;   0;-999;-999;eor
       3032;19310609;    5;   0.0;   0;-999;-999;eor
       3032;19310610;    5;  20.0;   1;-999;-999;eor
       3032;19310611;    5;   0.0;   0;-999;-999;eor
       3032;19310612;    5;   0.0;   0;-999;-999;eor
       3032;19310613;    5;   0.0;   0;-999;-999;eor
       3032;19310614;    5;   0.0;   0;-999;-999;eor
       3032;19310615;    5;   0.1;   1;-999;-999;eor
       3032;19310616;    5;   0.0;   0;-999;-999;eor
       3032;19310617;    5;   3.6;   1;-999;-999;eor
       3032;19310618;    5;   0.0;   0;-999;-999;eor
       3032;19310619;    5;   0.3;   1;-999;-999;eor
       3032;19310620;    5;   0.0;   0;-999;-999;eor
       3032;19310621;    5;   0.0;   0;-999;-999;eor
       3032;19310622;    5;   0.0;   0;-999;-999;eor
       3032;19310623;    5;   5.2;   1;-999;-999;eor
       3032;19310624;    5;   1.6;   1;-999;-999;eor
       3032;19310625;    5;   0.0;   0;-999;-999;eor
       3032;19310626;    5;   0.0;   0;-999;-999;eor
       3032;19310627;    5;   0.0;   0;-999;-999;eor
       3032;19310628;    5;   0.0;   0;-999;-999;eor
       3032;19310629;    5;   0.0;   0;-999;-999;eor
       3032;19310630;    5;   0.0;   0;-999;-999;eor
       3032;19310701;    5;   0.0;   0;-999;-999;eor
       3032;19310702;    5;   0.0;   0;-999;-999;eor
       3032;19310703;    5;   0.0;   0;-999;-999;eor
       3032;19310704;    5;   0.0;   0;-999;-999;eor
       3032;19310705;    5;   0.0;   0;-999;-999;eor
       3032;19310706;    5;  13.5;   1;-999;-999;eor
       3032;19310707;    5;  30.3;   1;-999;-999;eor
       3032;19310708;    5; 104.2;   1;-999;-999;eor
       3032;19310709;    5;   3.7;   1;-999;-999;eor
       3032;19310710;    5;   1.8;   1;-999;-999;eor
       3032;19310711;    5;   0.0;   0;-999;-999;eor
       3032;19310712;    5;   0.5;   1;-999;-999;eor
       3032;19310713;    5;   0.0;   0;-999;-999;eor
       3032;19310714;    5;   0.0;   0;-999;-999;eor
       3032;19310715;    5;  24.6;   1;-999;-999;eor
       3032;19310716;    5;   3.5;   1;-999;-999;eor
       3032;19310717;    5;   4.7;   1;-999;-999;eor
       3032;19310718;    5;   7.5;   1;-999;-999;eor
       3032;19310719;    5;   3.8;   1;-999;-999;eor
       3032;19310720;    5;  12.3;   1;-999;-999;eor
       3032;19310721;    5;   2.1;   1;-999;-999;eor
       3032;19310722;    5;   4.6;   1;-999;-999;eor
       3032;19310723;    5;   0.0;   0;-999;-999;eor
       3032;19310724;    5;   0.0;   0;-999;-999;eor
       3032;19310725;    5;   5.7;   1;-999;-999;eor
       3032;19310726;    5;   5.9;   1;-999;-999;eor
       3032;19310727;    5;   2.4;   1;-999;-999;eor
